sample-id,absolute-filepath,direction
316D14,/home/gomeza/rutsc011/16s_Tutorial/316D14_S59_L001_R1_001.fastq.gz,forward
316D14,/home/gomeza/rutsc011/16s_Tutorial/316D14_S59_L001_R2_001.fastq.gz,reverse
316D21,/home/gomeza/rutsc011/16s_Tutorial/316D21_S60_L001_R1_001.fastq.gz,forward
316D21,/home/gomeza/rutsc011/16s_Tutorial/316D21_S60_L001_R2_001.fastq.gz,reverse
316D42,/home/gomeza/rutsc011/16s_Tutorial/316D42_S61_L001_R1_001.fastq.gz,forward
316D42,/home/gomeza/rutsc011/16s_Tutorial/316D42_S61_L001_R2_001.fastq.gz,reverse
316D7,/home/gomeza/rutsc011/16s_Tutorial/316D7_S62_L001_R1_001.fastq.gz,forward
316D7,/home/gomeza/rutsc011/16s_Tutorial/316D7_S62_L001_R2_001.fastq.gz,reverse
426D14,/home/gomeza/rutsc011/16s_Tutorial/426D14_S63_L001_R1_001.fastq.gz,forward
426D14,/home/gomeza/rutsc011/16s_Tutorial/426D14_S63_L001_R2_001.fastq.gz,reverse
426D21,/home/gomeza/rutsc011/16s_Tutorial/426D21_S64_L001_R1_001.fastq.gz,forward
426D21,/home/gomeza/rutsc011/16s_Tutorial/426D21_S64_L001_R2_001.fastq.gz,reverse
426D42,/home/gomeza/rutsc011/16s_Tutorial/426D42_S65_L001_R1_001.fastq.gz,forward
426D42,/home/gomeza/rutsc011/16s_Tutorial/426D42_S65_L001_R2_001.fastq.gz,reverse
426D7,/home/gomeza/rutsc011/16s_Tutorial/426D7_S66_L001_R1_001.fastq.gz,forward
426D7,/home/gomeza/rutsc011/16s_Tutorial/426D7_S66_L001_R2_001.fastq.gz,reverse
442D14,/home/gomeza/rutsc011/16s_Tutorial/442D14_S67_L001_R1_001.fastq.gz,forward
442D14,/home/gomeza/rutsc011/16s_Tutorial/442D14_S67_L001_R2_001.fastq.gz,reverse
442D21,/home/gomeza/rutsc011/16s_Tutorial/442D21_S68_L001_R1_001.fastq.gz,forward
442D21,/home/gomeza/rutsc011/16s_Tutorial/442D21_S68_L001_R2_001.fastq.gz,reverse
442D42,/home/gomeza/rutsc011/16s_Tutorial/442D42_S69_L001_R1_001.fastq.gz,forward
442D42,/home/gomeza/rutsc011/16s_Tutorial/442D42_S69_L001_R2_001.fastq.gz,reverse
442D7,/home/gomeza/rutsc011/16s_Tutorial/442D7_S70_L001_R1_001.fastq.gz,forward
442D7,/home/gomeza/rutsc011/16s_Tutorial/442D7_S70_L001_R2_001.fastq.gz,reverse
